priceRange,alcohol,noiseLevel,attire,delivery,parking,waiterService,smoking,outdoorSeating,caters,goodForGroups,goodForKids
$,none,quiet,casual,Yes,lot,No,,Yes,,No,
$$,none,quiet,casual,No,,Yes,,Yes,Yes,Yes,
$$,none,average,casual,No,street,No,,Yes,Yes,No,
$$$,full_bar,average,casual,No,street,Yes,,Yes,No,No,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$$$$,full_bar,average,dressy,No,valet,Yes,,Yes,No,Yes,No
$$,none,average,casual,No,lot,Yes,,No,No,Yes,
$$,none,average,casual,No,street,Yes,,No,No,Yes,
$$,none,,,,lot,,,,,Yes,
$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,Yes
$,none,average,casual,No,,No,,No,No,Yes,
$$$,full_bar,average,casual,No,lot,Yes,no,Yes,No,Yes,No
$$,full_bar,loud,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,street,No,outdoor,Yes,,Yes,
$,none,average,casual,No,,Yes,,,,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$,none,,casual,No,,,,No,,Yes,
$$,none,quiet,formal,Yes,,No,,No,Yes,Yes,
$$,full_bar,,,,,Yes,,No,No,Yes,
$$,none,,,,lot,,,,,,
$$,full_bar,quiet,casual,No,,,,No,,Yes,
$$,none,average,casual,No,street,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,No
$$,full_bar,quiet,casual,No,lot,No,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,Yes
$$,none,,,,lot,,,Yes,,,
$$,full_bar,very_loud,casual,No,lot,Yes,yes,Yes,No,Yes,
$$,none,average,casual,No,,Yes,,Yes,,Yes,
$,none,,,,street,,,,,,
$$,none,,casual,Yes,,Yes,,No,,No,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,none,,casual,Yes,,Yes,,No,,Yes,
$$,full_bar,quiet,casual,No,lot,No,,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,none,average,casual,No,lot,Yes,,No,No,Yes,Yes
$,none,quiet,casual,No,,Yes,,No,,Yes,
$,none,average,casual,No,lot,,,Yes,No,Yes,
$$,full_bar,loud,casual,No,street,No,no,No,No,Yes,
$$,none,,,Yes,,,,,,,
$$,full_bar,quiet,casual,Yes,street,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,lot,,,Yes,Yes,Yes,
$,none,quiet,casual,Yes,lot,Yes,,No,No,No,
$,none,quiet,casual,No,,No,,Yes,Yes,Yes,
$,none,average,casual,No,,Yes,,No,No,Yes,
$,full_bar,loud,,,,Yes,outdoor,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,No,,No,Yes,Yes,
$,full_bar,average,,,,Yes,,Yes,,Yes,
$,none,quiet,casual,No,,No,,Yes,No,Yes,
$$,full_bar,loud,casual,No,street,Yes,outdoor,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,full_bar,average,casual,Yes,,No,,Yes,Yes,Yes,
$,full_bar,,,Yes,,,,,,,
$,none,average,casual,No,lot,No,,Yes,No,Yes,
$,none,,casual,,street,,,Yes,,Yes,
$$,none,,casual,Yes,,Yes,,No,,,
$$$,full_bar,average,casual,No,garage,No,,Yes,No,Yes,
$,none,,casual,No,,,,Yes,,Yes,
$$,full_bar,average,casual,No,garage,Yes,,No,No,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$,none,quiet,casual,No,lot,Yes,,Yes,Yes,Yes,
$$$,full_bar,quiet,dressy,No,,No,,Yes,No,Yes,
$$$,full_bar,average,dressy,No,valet,Yes,,Yes,Yes,Yes,No
$,none,average,casual,No,,Yes,,Yes,,Yes,
$,none,average,casual,No,lot,Yes,,No,No,Yes,Yes
$$,beer_and_wine,quiet,casual,No,street,Yes,,No,,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,none,,casual,No,,,,No,,Yes,
$$,full_bar,average,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,average,casual,No,valet,Yes,outdoor,Yes,No,Yes,
$,none,average,casual,No,,Yes,,Yes,Yes,Yes,
$$,full_bar,very_loud,,,valet,,yes,No,,Yes,
$,full_bar,,casual,No,garage,,,No,,Yes,
$,none,,casual,No,,,,,,No,
$,none,very_loud,casual,No,lot,,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,Yes
$,none,quiet,casual,No,,Yes,,No,No,Yes,
$,none,quiet,casual,Yes,lot,No,,No,,Yes,
$$,none,,,,street,,,,,,
$$,full_bar,average,casual,No,garage,Yes,,No,No,Yes,Yes
$$$,full_bar,very_loud,,,street,No,outdoor,No,,Yes,
$$,full_bar,average,,,street,No,outdoor,No,,Yes,
$,none,average,casual,No,,Yes,,No,,Yes,
$$$$,none,,,,street,,,,,,
$,none,quiet,casual,No,,,,No,,Yes,
$,none,average,casual,No,,,,,,Yes,
$,none,average,casual,Yes,,,,No,,Yes,
$,none,average,casual,No,,Yes,,Yes,,Yes,
$,none,,,,lot,,,Yes,,,
$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,Yes
$,none,,,,lot,,,,,,
$,beer_and_wine,average,casual,No,lot,,,No,Yes,Yes,
$$,beer_and_wine,,,,,,,No,,No,
$,none,,,,,,,,,,
$$,full_bar,average,casual,No,lot,,,Yes,,Yes,
$$,none,,casual,No,,Yes,,No,,Yes,
$,none,quiet,casual,No,lot,No,,No,No,Yes,
$$$$,full_bar,quiet,dressy,No,valet,Yes,,Yes,No,Yes,No
$$,none,quiet,casual,No,lot,,,Yes,No,No,
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,
$,none,average,casual,Yes,street,Yes,,No,Yes,Yes,Yes
$,none,very_loud,casual,No,,No,,No,,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,very_loud,casual,No,lot,Yes,outdoor,Yes,No,Yes,
$$,none,,casual,No,,,,Yes,,Yes,
$$$,none,,casual,No,,No,,,,Yes,
$,none,average,casual,No,,,,Yes,No,No,
$,none,loud,casual,Yes,lot,Yes,,No,Yes,Yes,
$$,none,,,,garage,Yes,,Yes,,,
$$$,full_bar,loud,,,,No,outdoor,Yes,,Yes,
$$,full_bar,loud,,,street,,no,No,,Yes,
$$,none,average,casual,No,lot,,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,garage,Yes,,No,No,Yes,
$,none,,casual,No,,,,,No,Yes,
$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,none,,,,garage,,,,,,
$$,none,,,,lot,,,Yes,,,
$,none,,casual,No,,,,No,,Yes,
$$,none,quiet,casual,Yes,,Yes,,No,Yes,Yes,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$,none,average,casual,No,,Yes,,No,,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,,Yes,
$$,none,average,casual,Yes,lot,No,,Yes,Yes,Yes,
$,none,,,,street,,,,,,
$$,full_bar,average,casual,No,street,Yes,outdoor,Yes,No,Yes,
$,none,quiet,casual,No,lot,Yes,,Yes,No,No,
$,beer_and_wine,average,casual,No,,Yes,,Yes,Yes,Yes,
$,none,quiet,casual,No,street,Yes,,Yes,No,Yes,Yes
$$,beer_and_wine,average,casual,No,lot,No,,Yes,No,Yes,
$$,none,,casual,No,,Yes,,,,Yes,
$,none,,,,garage,,,Yes,,,
$,none,,,,lot,,,,,,
$$,full_bar,average,dressy,No,,Yes,,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,Yes
$$,none,,,,,No,,Yes,,,
$,none,,,,,,,,,,
$,none,average,casual,No,,No,,Yes,No,Yes,
$$,none,average,casual,No,,No,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$$$,full_bar,average,dressy,No,valet,No,no,Yes,No,Yes,
$$,none,,,No,lot,,,,,,
$$,beer_and_wine,average,casual,Yes,lot,Yes,,No,Yes,Yes,
$$,beer_and_wine,average,casual,Yes,lot,Yes,,No,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,Yes,Yes,
$,none,very_loud,casual,Yes,garage,Yes,,Yes,Yes,Yes,
$,none,,,,lot,,,,,,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,average,,,lot,,yes,No,,Yes,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,beer_and_wine,very_loud,casual,No,street,Yes,,Yes,No,Yes,
$$,none,average,casual,Yes,,,,No,,No,
$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,street,Yes,no,No,Yes,Yes,
$,none,average,casual,No,,No,,,No,No,
$$,full_bar,average,casual,No,street,Yes,,Yes,,Yes,
$,full_bar,quiet,casual,No,,Yes,yes,No,No,Yes,
$,none,average,casual,No,,Yes,,No,No,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,,Yes,No,Yes,
$$$,full_bar,average,dressy,No,street,Yes,,Yes,,Yes,
$,none,average,casual,No,lot,Yes,,Yes,,Yes,
$$,none,loud,casual,No,,No,,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,,Yes,Yes
$$,none,,,,,,,,,,
$,full_bar,loud,,,street,,outdoor,No,,Yes,
$,none,average,casual,,,,,No,,Yes,
$$,full_bar,very_loud,casual,No,street,Yes,,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,,No,,Yes,
$$,none,quiet,casual,Yes,lot,No,,No,Yes,No,Yes
$,none,quiet,casual,Yes,,No,,No,Yes,Yes,
$$,none,average,casual,Yes,,,,No,,No,
$$,none,,,,street,,,Yes,,,
$$,full_bar,average,casual,Yes,lot,Yes,,No,,Yes,
$$,beer_and_wine,average,casual,No,garage,Yes,,No,No,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,,No,Yes,Yes,
$$,none,,,,lot,,,,,,
$$,full_bar,quiet,casual,Yes,lot,Yes,,Yes,,Yes,Yes
$,none,quiet,casual,No,street,Yes,,No,No,Yes,No
$$$,full_bar,loud,casual,No,lot,No,,Yes,No,Yes,
$$$,full_bar,loud,dressy,No,valet,Yes,no,No,No,Yes,No
$,none,quiet,casual,No,,,,No,Yes,Yes,
$,none,average,casual,No,,No,,No,No,Yes,
$$,full_bar,,casual,,,,,Yes,,Yes,
$$,full_bar,average,,,,,outdoor,Yes,,Yes,
$$,none,,,,,,,No,,,
$,none,,,,street,,,Yes,,,
$$,full_bar,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,none,very_loud,casual,No,,No,,No,,Yes,
$,none,,,,lot,,,,,,
$$,none,quiet,casual,Yes,lot,No,,No,,Yes,
$,none,,casual,No,,,,No,,Yes,
$$,full_bar,average,casual,No,street,,,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,average,,,lot,No,outdoor,Yes,,Yes,
$$$,full_bar,quiet,dressy,No,street,No,,No,,No,No
$$$,full_bar,loud,,,,No,,No,,Yes,
$$$,none,,casual,,,No,,,,No,
$$,none,,,,,,,No,,,
$$,full_bar,,,,street,,outdoor,Yes,,Yes,
$,none,average,casual,No,lot,No,,No,No,No,
$,none,very_loud,casual,Yes,,No,,No,,Yes,
$,none,average,casual,No,lot,Yes,,No,No,Yes,
$,none,,casual,Yes,lot,Yes,,No,,Yes,
$,full_bar,,casual,No,,No,,No,,Yes,
$,full_bar,average,,,street,,outdoor,No,,Yes,
$,none,average,casual,No,,No,,No,,Yes,
$$,full_bar,average,casual,No,street,Yes,,No,,Yes,
$$,full_bar,loud,casual,No,,Yes,,No,No,Yes,
$,none,average,casual,No,lot,No,,No,No,Yes,
$$,beer_and_wine,loud,casual,No,lot,,,No,No,Yes,
$$,full_bar,average,casual,No,garage,Yes,,Yes,Yes,Yes,
$$$,none,,,,lot,Yes,,,,,
$$,beer_and_wine,average,casual,No,garage,No,,No,Yes,No,
$$,none,,,,lot,,,,,,
$$,full_bar,loud,casual,,lot,,outdoor,Yes,,Yes,
$,none,average,casual,No,street,No,,No,,No,
$,none,average,casual,No,,Yes,,No,No,Yes,
$$,none,,,,street,,,,,,
$$,none,,casual,No,,,,No,,Yes,
$$,beer_and_wine,quiet,casual,Yes,,No,,Yes,Yes,Yes,
$,none,,,,lot,,,,,,
$,none,,,,,,,,,,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$$$,full_bar,quiet,dressy,No,valet,No,,Yes,No,Yes,
$,beer_and_wine,quiet,casual,No,lot,Yes,,No,Yes,Yes,
$,none,,,,lot,,,Yes,,,
$$,full_bar,very_loud,casual,No,lot,Yes,outdoor,Yes,No,Yes,
$$,none,,casual,No,,,,Yes,,Yes,
$,beer_and_wine,average,casual,Yes,lot,Yes,,No,Yes,Yes,No
$$,beer_and_wine,average,,,street,,,Yes,,No,
$$$,full_bar,average,casual,No,lot,No,no,No,No,Yes,
$,none,,,,lot,,,Yes,,,
$$,none,,,,,,,Yes,,,
$$$,none,,,,,,,No,,,
$$,full_bar,average,casual,No,lot,No,no,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,valet,Yes,no,Yes,No,Yes,No
$$$,full_bar,average,dressy,No,valet,Yes,,No,,Yes,
$$,full_bar,average,casual,No,valet,,,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$,none,quiet,casual,No,,No,,Yes,No,Yes,
$,beer_and_wine,average,casual,No,street,No,,No,No,No,
$$,full_bar,,casual,No,valet,No,,Yes,,Yes,
$$,full_bar,average,casual,No,garage,Yes,,No,No,Yes,No
$,none,average,casual,Yes,lot,No,,No,No,Yes,
$$,beer_and_wine,average,casual,No,valet,,,No,No,No,
$$,none,,,No,lot,,,Yes,Yes,,
$,none,,,No,street,,,No,,,
$$,none,,,,street,,,,,,
$$,full_bar,quiet,casual,No,lot,Yes,,No,No,Yes,Yes
$$,none,quiet,casual,Yes,lot,Yes,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$$,full_bar,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,full_bar,quiet,casual,No,valet,Yes,,Yes,No,Yes,
$$,none,quiet,casual,Yes,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,garage,No,,No,No,No,
$,none,,casual,No,,Yes,,,,Yes,
$,none,,,,lot,,,,,,
$$,none,,casual,No,,Yes,,No,,No,
$,none,,casual,No,,,,,,Yes,
$$,full_bar,average,casual,No,lot,,outdoor,Yes,No,Yes,Yes
$,none,average,casual,No,lot,Yes,,Yes,,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$,none,average,casual,No,,Yes,,No,No,Yes,
$,none,average,casual,Yes,,Yes,,No,No,No,
$,none,,,,lot,,,,,,
$,full_bar,quiet,,,,No,,No,,Yes,
$,none,,,,lot,No,,,,,
$$,none,,,,street,,,No,,,
$,full_bar,average,formal,No,lot,No,,No,,Yes,
$$,none,,casual,Yes,,,,,,Yes,
$$,full_bar,average,casual,Yes,street,No,,No,Yes,Yes,
$$,none,,,,garage,,,,,,
$,none,average,casual,No,,Yes,,No,No,Yes,
$$,none,,,,,,,,,,
$,none,quiet,casual,No,,Yes,,No,No,No,
$,none,quiet,casual,No,,No,,Yes,,,
$$$,full_bar,loud,casual,,street,,,Yes,,Yes,
$,none,loud,casual,No,,No,,No,No,Yes,
$$,none,,,Yes,,Yes,,No,,,Yes
$$,none,,,,lot,,,,,,
$$$,full_bar,loud,,,,Yes,no,No,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,No,Yes,
$$,beer_and_wine,quiet,casual,Yes,lot,Yes,,No,No,Yes,Yes
$,beer_and_wine,quiet,casual,No,lot,Yes,,Yes,Yes,Yes,
$$$$,full_bar,average,dressy,No,valet,,,Yes,No,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,full_bar,,casual,No,,No,no,Yes,,Yes,
$,none,,,,lot,,,,,,
$$,full_bar,average,casual,,,,,Yes,,,
$$,none,quiet,casual,Yes,lot,Yes,,Yes,,Yes,
$,none,average,casual,Yes,,Yes,,No,Yes,Yes,
$,none,,,,garage,,,,,,
$,none,,,,lot,,,Yes,,,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,average,casual,Yes,garage,Yes,,Yes,Yes,Yes,Yes
$$$,full_bar,average,dressy,No,street,Yes,,No,No,Yes,
$,none,,,,lot,,,,,,
$$,none,,,,,,,No,,,
$$,full_bar,very_loud,casual,No,lot,No,outdoor,Yes,,Yes,
$$$,full_bar,,casual,No,street,Yes,,No,,Yes,
$$,none,,,,,,,,,,
$$,none,average,casual,No,garage,No,,Yes,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,No,Yes,
$$$,full_bar,quiet,casual,,,,,No,,Yes,
$,none,average,casual,No,,,,No,No,Yes,
$$,full_bar,very_loud,casual,No,,,no,No,No,No,
$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$,none,,casual,No,,No,,No,,Yes,
$,none,average,casual,No,lot,No,,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,none,,,,street,,,No,,,
$,none,,casual,No,,Yes,,No,,Yes,
$$$,none,,,,street,,,,,,
$$,none,,,,lot,,,,,,
$$,none,quiet,casual,No,,No,,,No,Yes,
$$,full_bar,,casual,No,lot,Yes,,No,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,,No,Yes,Yes,No
$$$,full_bar,quiet,dressy,No,garage,No,,Yes,No,Yes,
$$,full_bar,loud,,,lot,Yes,yes,Yes,,Yes,
$,none,average,casual,Yes,lot,Yes,,Yes,Yes,No,
$,full_bar,average,casual,No,lot,Yes,yes,No,No,Yes,No
$$,full_bar,average,casual,Yes,lot,No,,Yes,Yes,Yes,Yes
$,none,,,,lot,Yes,,,,,
$,none,,,,lot,,,No,,,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$$$,full_bar,average,dressy,No,valet,,,Yes,No,Yes,
$,full_bar,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,,casual,No,lot,No,,Yes,,Yes,Yes
$$$,full_bar,average,casual,,,Yes,,,,Yes,
$$,none,,,,,,,,,,
$$,full_bar,quiet,,,,,yes,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,No,Yes,
$$,none,,,,lot,,,,,,
$$$,full_bar,average,dressy,No,valet,No,,Yes,No,Yes,
$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$,full_bar,average,,,,Yes,no,No,,Yes,
$$$,none,,,,,,,,,Yes,
$,none,average,casual,No,lot,Yes,,No,No,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$,none,average,casual,No,street,Yes,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,full_bar,average,casual,No,,No,,Yes,,No,
$,none,quiet,casual,No,garage,Yes,,Yes,,Yes,
$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,none,,casual,Yes,,No,,No,,No,
$$,full_bar,,casual,No,lot,Yes,,Yes,,Yes,No
$$,none,,,,lot,,,,,,
$,none,average,casual,,,,,Yes,,No,
$$,none,average,casual,,,,,No,No,,
$$,beer_and_wine,average,,,street,Yes,,,No,,
$$,full_bar,loud,casual,No,street,Yes,,No,No,Yes,Yes
$,none,average,casual,Yes,,No,,No,Yes,No,
$$,none,average,casual,No,lot,,,Yes,Yes,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,none,loud,casual,No,,No,,No,,Yes,
$,none,average,casual,No,,No,,Yes,No,No,
$$,full_bar,average,casual,No,lot,Yes,,Yes,No,Yes,
$,none,quiet,casual,Yes,lot,No,,No,,Yes,
$$,none,,casual,No,,,,No,,No,
$,none,average,casual,No,,No,,No,No,No,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,Yes,Yes,
$,none,average,casual,No,,,,No,No,Yes,
$$,none,,,,street,,,Yes,,,
$,none,average,casual,No,,Yes,,No,Yes,Yes,
$,none,quiet,casual,No,street,Yes,,No,,Yes,
$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,none,loud,casual,No,,Yes,,No,No,No,
$$,full_bar,,casual,No,,,,No,,Yes,
$,none,,,,lot,,,,,,
$,none,,casual,No,,No,,No,,Yes,
$,none,,casual,No,,,,,,Yes,
$,none,quiet,casual,Yes,,No,,No,,Yes,
$$,none,,,,,,,,,,
$,none,average,casual,No,lot,Yes,,No,,Yes,
$$,none,average,casual,No,street,Yes,,No,Yes,No,
$$,none,,,,lot,,,,,,
$$,full_bar,quiet,casual,No,lot,Yes,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,Yes,Yes,No
$$,full_bar,loud,casual,No,lot,Yes,yes,Yes,Yes,Yes,Yes
$,none,quiet,casual,No,lot,No,,No,,,
$$,none,loud,casual,No,,Yes,,No,No,Yes,
$,full_bar,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$$,none,quiet,casual,Yes,lot,Yes,,No,Yes,Yes,
$,none,average,casual,Yes,lot,,,Yes,Yes,Yes,Yes
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,none,average,,,,No,,Yes,,Yes,
$,none,average,casual,No,,,,No,,Yes,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,,No,Yes,Yes,
$,none,,casual,,,,,,,,
$$,none,,,,lot,,,Yes,,,
$,full_bar,average,casual,No,,No,no,Yes,,Yes,
$$$,none,,,,,,,,,Yes,
$,beer_and_wine,average,casual,No,lot,No,,Yes,Yes,Yes,
$,full_bar,average,casual,No,street,Yes,outdoor,Yes,Yes,Yes,
$,none,,,,,,,,,,
$$,none,quiet,casual,,,Yes,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,average,,,,Yes,,,,,
$$$,full_bar,quiet,casual,No,garage,No,,No,No,Yes,Yes
$$,full_bar,average,casual,No,street,Yes,,Yes,,Yes,Yes
$,none,average,casual,No,,,,Yes,,Yes,
$,none,,casual,No,,No,,No,,Yes,
$$,none,average,casual,Yes,lot,No,,No,Yes,No,
$,none,loud,casual,No,,Yes,,No,No,No,
$$$$,full_bar,average,dressy,No,valet,Yes,,No,No,Yes,No
$$,none,,casual,No,,,,,,Yes,
$,none,,,,lot,,,,,,
$,none,quiet,casual,No,,,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,No,Yes,
$,none,average,casual,No,,Yes,,Yes,Yes,Yes,
$,none,average,casual,Yes,lot,No,,Yes,Yes,Yes,
$$,none,,,,,,,Yes,,,
$$,full_bar,average,casual,No,street,Yes,,Yes,Yes,Yes,
$,none,average,casual,Yes,street,Yes,,No,No,Yes,Yes
$$,none,quiet,casual,Yes,garage,Yes,,Yes,Yes,Yes,
$$,none,quiet,casual,No,lot,Yes,,Yes,Yes,No,
$,none,average,casual,No,,Yes,,No,Yes,Yes,
$$,full_bar,average,,,street,,no,No,,Yes,
$,none,,,No,,,,,,Yes,
$$,full_bar,,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,,No,no,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$,none,,,,,,,,,,
$$,none,,,,lot,,,,,,
$$,full_bar,,,,,Yes,,No,,Yes,
$$,full_bar,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,Yes
$,none,average,casual,Yes,lot,,,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,No,
$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,,Yes,yes,Yes,No,Yes,
$$,full_bar,average,casual,No,garage,No,,No,No,No,
$,none,quiet,casual,Yes,lot,Yes,,No,Yes,No,
$,none,,,,,,,No,,,
$,beer_and_wine,quiet,casual,Yes,garage,No,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,,No,No,Yes,
$,none,average,casual,No,,,,Yes,,Yes,
$$,full_bar,loud,casual,No,garage,Yes,,No,No,No,No
$$,none,,,,garage,,,,,,
$$,none,,,,,,,No,,,
$$,none,,,,lot,,,,,,
$$,full_bar,loud,,,street,,outdoor,Yes,,Yes,
$,none,quiet,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,very_loud,casual,No,valet,No,outdoor,Yes,No,Yes,
$$,full_bar,average,casual,No,,Yes,,No,,Yes,
$$,full_bar,average,casual,No,,Yes,,No,,Yes,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,none,,,,lot,,,,,,
$$,beer_and_wine,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,very_loud,casual,No,lot,Yes,,No,No,Yes,No
$$,full_bar,average,casual,No,garage,No,,No,No,Yes,
$,none,average,casual,No,lot,No,,No,No,Yes,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$,none,,,No,lot,,,,,,
$,none,,casual,No,,,,,,Yes,
$,beer_and_wine,average,casual,No,street,Yes,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,,Yes,
$,none,loud,casual,No,,Yes,,No,,Yes,
$,none,,,,lot,,,Yes,,,
$,none,,casual,No,,,,No,,Yes,
$,none,,,,,,,,,,
$$,none,loud,casual,Yes,lot,Yes,,No,Yes,Yes,
$,beer_and_wine,average,casual,No,lot,No,,Yes,Yes,Yes,
$,none,quiet,casual,No,,No,,No,No,Yes,
$,none,loud,casual,No,,No,,Yes,No,Yes,
$,none,,,,garage,Yes,,,,,
$,beer_and_wine,average,casual,No,lot,,,Yes,,Yes,
$$,none,quiet,casual,Yes,,No,,No,No,Yes,
$,none,,casual,No,,,,No,,No,
$,none,average,casual,No,lot,No,,No,No,Yes,
$,none,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,none,,,,lot,No,,,,,
$$,none,,,Yes,lot,,,,,,
$,none,,casual,No,,No,,No,,Yes,
$,none,average,casual,No,,No,,No,Yes,Yes,
$$$,full_bar,quiet,dressy,No,valet,Yes,,Yes,No,Yes,
$,full_bar,average,casual,,,Yes,yes,No,,Yes,
$,none,average,casual,No,,No,,No,No,,
$,none,,casual,Yes,,,,No,,No,
$,none,,,,lot,Yes,,Yes,,,
$,none,,,No,lot,,,,,,
$$,none,,,,street,,,,,,
$$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,No,,No,No,Yes,
$,none,,casual,No,street,Yes,,No,,Yes,Yes
$$,full_bar,loud,casual,No,lot,Yes,outdoor,Yes,No,Yes,
$,none,loud,casual,No,lot,No,,No,,Yes,
$$,beer_and_wine,quiet,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$,none,loud,casual,,,,,No,,Yes,
$,none,,,,lot,,,Yes,,,
$$,full_bar,quiet,casual,No,street,Yes,,Yes,Yes,Yes,
